project_id;id;priority;status;short_desc;type;Reliability;Maintainability;Usability;Portability;Security;Performance;Other
DERBY_PROJECT-1;DERBY-1707;Major;Closed;Specifying an incorrect optimizer property (constraint=null) gives NullPointerException;FR;0;0;0;0;0;0;1
DERBY_PROJECT-2;DERBY-6077;Minor;Closed;web site needs updating on a few points;FR;0;0;0;0;0;0;1
DERBY_PROJECT-3;DERBY-6619;Major;Closed;After silently swallowing SecurityExceptions  Derby can leak class loaders;Performance;0;0;0;0;1;1;0
DERBY_PROJECT-4;DERBY-282;Major;Closed;Fix to Net Client DITA files;FR;0;0;0;0;0;0;1
DERBY_PROJECT-5;DERBY-6370;Major;Closed;dblook doesnt schema-qualify identifiers in trigger actions;FR;0;0;0;0;0;0;1
DERBY_PROJECT-6;DERBY-1647;Major;Closed;JDK 1.6 derbynet is failing due to SQLException.toString() changes;Portability;0;1;0;1;0;0;0
DERBY_PROJECT-7;DERBY-3701;Major;Closed;java.lang.Exception: DRDA_UnableToAccept.S:Unable to accept connections and client hang if tracing is turned on but traceDirectory does not exist;Performance;0;0;0;1;0;0;0
DERBY_PROJECT-8;DERBY-3242;Major;Closed;ij doesnt understand bracketed comments;FR;0;0;0;0;0;0;1
DERBY_PROJECT-9;DERBY-1247;Minor;Closed;test DerbyNetAutoStart uses non-portable mechanism to check on derby.log;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-10;DERBY-6306;Major;Closed;XplainStatisticsTest.testSimpleQuery: BEGIN_COMP_TIME unexpectedly NULL;FR;0;0;0;0;0;0;1
DERBY_PROJECT-11;DERBY-2858;Minor;Closed;Export exceptions swallow useful information;FR;0;0;0;0;0;0;1
DERBY_PROJECT-12;DERBY-6629;Major;Closed;Restrict privileged operation in CreateXMLFile;FR;0;0;0;0;0;0;1
DERBY_PROJECT-13;DERBY-3079;Trivial;Closed;Database name is printed twice in derby.log on rollbacks when logStatementText  is enabled;FR;0;0;0;0;0;0;1
DERBY_PROJECT-14;DERBY-6073;Major;Closed;Test ordering instability in StatementPoolingTest;Reliability;1;0;0;0;0;0;0
DERBY_PROJECT-15;DERBY-2036;Major;Closed;junit testing with j2ME / wctme 5.7 foundation fails with java.sql.SQLException: org.apache.derby.jdbc.EmbeddedDriver is not registered with the JDBC driver manager;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-16;DERBY-3993;Minor;Closed;With IBM 1.6 T_RawStoreFactory fails with There should be 0 observers  but we still have 1 observers on Win 2K;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-17;DERBY-1010;Major;Closed;setTransactionIsolation can cause ava.sql.SQLException: Invalid operation: statement closed in some contexts with xa;FR;0;0;0;0;0;0;1
DERBY_PROJECT-18;DERBY-5708;Major;Closed;simpleThread test doesnt release connection;FR;0;0;0;1;0;0;1
DERBY_PROJECT-19;DERBY-4305;Minor;Closed;Make changes to test harness class j9_foundation11 to support newer version of IBMs JSR169 implementation;Portability;0;0;0;1;0;0;0
DERBY_PROJECT-20;DERBY-1176;Major;Closed;Stored prepared statements in the SYSIBM schema are not updated on upgrade;FR;0;0;0;0;1;1;1
DERBY_PROJECT-21;DERBY-2270;Major;Closed;18  (18 followed by four blanks) needs three more blanks;FR;0;0;0;0;0;0;1
DERBY_PROJECT-22;DERBY-6500;Major;Closed;intermittent error in nightly regression tests: AutoIncrementTest;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-23;DERBY-3745;Major;Closed;Derby can leak classloaders in an app server environment;Performance;0;0;0;1;0;0;0
DERBY_PROJECT-24;DERBY-147;Major;Closed;ERROR 42X79 not consistant ? - same column name specified twice;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-25;DERBY-4884;Major;Closed;DatabasePropertyTestSetup cannot change static properties in encrypted databases;FR;0;0;0;0;0;0;1
DERBY_PROJECT-26;DERBY-2585;Major;Closed;Mistaken description in page of CLOB ;FR;0;0;0;0;0;0;1
DERBY_PROJECT-27;DERBY-6860;Major;Closed;Automatic download of junit.jar broken;FR;0;0;0;0;0;0;1
DERBY_PROJECT-28;DERBY-4387;Major;Closed;Infinite loop in PredicateList.joinClauseTransitiveClosure();FR;0;0;0;1;0;0;1
DERBY_PROJECT-29;DERBY-6351;Minor;Closed;Syntax error on equal transition table name and correlation name in statement trigger;FR;0;0;0;0;0;0;1
DERBY_PROJECT-30;DERBY-6496;Major;Closed;Optional tool registration may fail because the CompilerContext is not always available at execution time.;Usability;0;0;0;0;0;0;1
DERBY_PROJECT-31;DERBY-660;Trivial;Closed;CREATE PROCEDURE incorrectly allows the RETURNS NULL ON NULL INPUT clause;FR;0;0;0;0;0;0;1
DERBY_PROJECT-32;DERBY-3799;Major;Closed;NullPointerException when accessing a clob through a pooled connection;FR;0;0;0;0;0;0;1
DERBY_PROJECT-33;DERBY-4682;Minor;Closed;Inaccurate description of how a statement is completed in Developers guide;Usability;0;0;1;0;0;0;0
DERBY_PROJECT-34;DERBY-4402;Minor;Closed;Assert failure (sane) or Array out of bounds error (insane) when attempting to GROUP BY accumulator function;FR;0;0;0;0;0;0;1
DERBY_PROJECT-35;DERBY-2282;Minor;Closed;Incorrect transitive closure logic leads to inconsistent behavior for binary comparison predicates.;Reliability;1;0;0;0;0;0;1
DERBY_PROJECT-36;DERBY-5584;Major;Closed;Select statement with subqueries with group by and count distinct statements returns wrong number of results;FR;0;0;0;0;0;0;1
DERBY_PROJECT-37;DERBY-2831;Minor;Closed;NullPointerException creating a function in a schema that doesnt exist when the return type is a character type;FR;0;0;0;0;0;0;1
DERBY_PROJECT-38;DERBY-669;Major;Closed;testing/README.htm should make it clear that the DB2 driver and associated tests are optional;FR;0;0;0;0;0;0;1
DERBY_PROJECT-39;DERBY-4194;Major;Closed;10.5 RC1 and RC2 ui plugin doesnt work properly;FR;0;0;0;0;0;0;1
DERBY_PROJECT-40;DERBY-3878;Major;Closed;Replication: stopSlave does not close serversocket when master has crashed.;FR;0;0;0;0;0;0;1
DERBY_PROJECT-41;DERBY-4920;Major;Closed;suites.All stuck in RAFContainer4.awaitRestoreChannel();FR;0;0;0;0;0;0;1
DERBY_PROJECT-42;DERBY-3818;Major;Closed;client Insert/retrieval of 18MB  Clob is extremely slow  in MultiByteClobTest;Performance;0;0;0;1;0;1;0
DERBY_PROJECT-43;DERBY-2632;Trivial;Closed;upgrade tests fail through BlobStoredProcedureTest and ClobStoredProcedureTest with JSR169;FR;0;0;0;0;0;0;1
DERBY_PROJECT-44;DERBY-5489;Major;Closed;getBinary() returns incorrect data after getObject() call on BLOB column;FR;0;0;0;0;0;0;1
